:   ID : executionTime     : executionResult : description  
:  146 :             0.270 :         SUCCESS : ALTER TABLE test_batch.dimension4      
:  147 :             0.228 :         SUCCESS : ALTER TABLE test_batch.f_f1      
:  148 :             0.241 :         SUCCESS : ALTER TABLE test_batch.tbl_not_part_pk      
:  149 :             0.216 :         SUCCESS : ALTER TABLE test_batch.tbl_locations_demo      
:  150 :             0.420 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_list_pk_ind      
:  151 :             0.250 :         SUCCESS : ALTER TABLE test_batch.tbl_part_range_intval_pk_ind      
:  152 :             0.223 :         SUCCESS : ALTER TABLE test_batch.tbl_part_ref      
:  153 :             0.203 :         SUCCESS : ALTER TABLE test_batch.f_f2      
:  154 :             0.238 :         SUCCESS : ALTER TABLE test_batch.dimension1      
:  155 :             0.310 :         SUCCESS : ALTER TABLE test_batch.fact_table2      
:  156 :             0.225 :         SUCCESS : ALTER TABLE test_batch.f_f2      
:  157 :             0.237 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_round1 (col1) AS      
:  158 :             0.264 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_trunc3 (col1) AS      
:  159 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_19 (col1) AS      
:  160 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_to_multi_byte (text, error_msg) AS      
:  161 :             0.221 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_regexp_replace2 (col1) AS      
:  162 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_lead8 (col1, col2, col3, col4, col5) AS      
:  163 :             0.225 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_median1 (col1, col2, col3, col4, col5) AS      
:  164 :             0.224 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_min2 (col1, col2, col3, col4, col5) AS      
:  165 :             0.344 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_deref (text, error_msg) AS      
:  166 :             0.293 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_nested_subq_mlt_cols (id, accountno, currencyid, description, customerid, stateid, accountbalance, blockedamount, opendate, closedate, respmanagerid, bankid) AS      
:  167 :             0.206 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_5 (col1) AS      
:  168 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev_samp7 (col1, col2, col3, col4, col5) AS      
:  169 :             0.207 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_pre_tbl_tst (acc_id, cust_id, acc_no, currency, amount) AS      
:  170 :             0.206 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_5_2 (col1) AS      
:  171 :             0.235 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_sys_context3 (text, error_msg) AS      
:  172 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_last_value14 (col1, col2, col3, col4, col5) AS      
:  173 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_lpad2 (col1) AS      
:  174 :             0.222 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_min6 (text, error_msg) AS      
:  175 :             0.206 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_var_pop18 (text, error_msg) AS      
:  176 :             0.236 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_min11 (col1, col2, col3, col4, col5) AS      
:  177 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_nullif (col1) AS      
:  178 :             0.250 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_max5 (text, error_msg) AS      
:  179 :             0.208 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_like_cond (id, accountno, currencyid, description, customerid, stateid, accountbalance, blockedamount, opendate, closedate, respmanagerid, bankid) AS      
:  180 :             0.201 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_literal_date (col1) AS      
:  181 :             0.222 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_ntile3 (col1, col2, col3, col4, col5) AS      
:  182 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_last_value16 (col1, col2, col3, col4, col5) AS      
:  183 :             0.268 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_user (col1) AS      
:  184 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_rowidtonchar (text, error_msg) AS      
:  185 :             0.281 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_regexp_count3 (col1) AS      
:  186 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev_samp17 (col1, col2, col3, col4, col5) AS      
:  187 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_median4 (col1, col2, col3, col4, col5) AS      
:  188 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_var_pop11 (col1, col2, col3, col4, col5) AS      
:  189 :             0.215 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_row_number2 (col1, col2, col3, col4, col5) AS      
:  190 :             0.361 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev8 (col1, col2, col3, col4, col5) AS      
:  191 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_like_escape (id, first_name, last_name, salary, comm1, comm2) AS      
:  192 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev_samp14 (col1, col2, col3, col4, col5) AS      
:  193 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_sum1 (col1) AS      
:  194 :             0.295 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_date_to_yminterval (text, error_msg) AS      
:  195 :             0.218 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_count8 (col1, col2, col3, col4, col5) AS      
:  196 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_count11 (col1, col2, col3, col4, col5) AS      
:  197 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_max18 (text, error_msg) AS      
:  198 :             0.247 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_max14 (col1, col2, col3, col4, col5) AS      
:  199 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_variance1 (col1, col2, col3, col4, col5) AS      
:  200 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_regexp_count2 (col1) AS      
:  201 :             0.235 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_var_pop7 (col1, col2, col3, col4, col5) AS      
