              Started ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;           additional 
                      ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;                      
                      ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;                      
                      ;               _Total ;                   C: ;                   F: ;                   D: ;                   E: ;      HarddiskVolume1 ;                      
               16.367 ;               22.240 ;                0.311 ;               31.628 ;               14.090 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.060423994.json.gz 
               16.533 ;               22.239 ;                0.294 ;               31.628 ;               14.090 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.061426078.json.gz 
               16.700 ;               22.237 ;                0.274 ;               31.628 ;               14.090 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.062428189.json.gz 
               16.867 ;               22.233 ;                0.255 ;               31.628 ;               14.084 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.063430451.json.gz 
               17.033 ;               22.231 ;                0.236 ;               31.628 ;               14.084 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.064432483.json.gz 
               17.200 ;               22.227 ;                0.225 ;               31.628 ;               14.078 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.065434030.json.gz 
               17.367 ;               22.221 ;                0.210 ;               31.629 ;               14.066 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.070436305.json.gz 
               17.533 ;               22.217 ;                0.193 ;               31.629 ;               14.059 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.071438307.json.gz 
               17.700 ;               22.216 ;                0.177 ;               31.629 ;               14.059 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.072440343.json.gz 
               17.867 ;               22.209 ;                0.159 ;               31.629 ;               14.047 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.073442327.json.gz 
               18.033 ;               22.207 ;                0.139 ;               31.629 ;               14.047 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.074444667.json.gz 
               18.200 ;               22.206 ;                0.124 ;               31.629 ;               14.047 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.075446404.json.gz 
               18.367 ;               22.200 ;                0.113 ;               31.629 ;               14.035 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.080447973.json.gz 
               18.533 ;               22.196 ;                0.096 ;               31.629 ;               14.029 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.081450108.json.gz 
               18.700 ;               22.189 ;                0.081 ;               31.629 ;               14.017 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.082452113.json.gz 
               18.867 ;               22.177 ;                0.065 ;               31.629 ;               13.992 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.083453796.json.gz 
               19.033 ;               22.173 ;                0.049 ;               31.628 ;               13.986 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.084455825.json.gz 
               19.200 ;               22.169 ;                0.033 ;               31.628 ;               13.980 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.085457023.json.gz 
               19.367 ;               22.168 ;                0.020 ;               31.628 ;               13.980 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.090459036.json.gz 
               19.533 ;               22.156 ;                0.005 ;               31.628 ;               13.955 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.091500378.json.gz 
               19.700 ;               22.155 ;                0.000 ;               31.628 ;               13.955 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.092501897.json.gz 
               19.867 ;               22.155 ;                0.000 ;               31.628 ;               13.955 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.093503233.json.gz 
               20.033 ;               22.155 ;                0.000 ;               31.628 ;               13.955 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.094504417.json.gz 
               20.217 ;               22.153 ;                0.000 ;               31.628 ;               13.949 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.095505314.json.gz 
               20.383 ;               22.161 ;                0.032 ;               31.642 ;               13.949 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.100506265.json.gz 
               20.550 ;               22.193 ;                0.010 ;               31.719 ;               13.949 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.101507501.json.gz 
               20.717 ;               22.207 ;                0.000 ;               31.754 ;               13.949 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.102508346.json.gz 
               20.883 ;               22.216 ;                0.000 ;               31.773 ;               13.949 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.103508884.json.gz 
               21.050 ;               22.213 ;                0.000 ;               31.773 ;               13.943 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.104509532.json.gz 
               21.217 ;               22.213 ;                0.000 ;               31.773 ;               13.943 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.105510984.json.gz 
               21.383 ;               22.221 ;                0.000 ;               31.792 ;               13.943 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.110512477.json.gz 
               21.550 ;               22.221 ;                0.000 ;               31.792 ;               13.942 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.111513570.json.gz 
               21.717 ;               22.229 ;                0.000 ;               31.811 ;               13.942 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.112514593.json.gz 
               21.883 ;               22.227 ;                0.000 ;               31.811 ;               13.936 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.113515979.json.gz 
               22.050 ;               22.227 ;                0.000 ;               31.811 ;               13.936 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.114517213.json.gz 
               22.217 ;               22.235 ;                0.000 ;               31.830 ;               13.936 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.115518796.json.gz 
               22.383 ;               22.235 ;                0.000 ;               31.830 ;               13.936 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.120519753.json.gz 
               22.550 ;               22.221 ;                0.000 ;               31.805 ;               13.929 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.121520728.json.gz 
               22.717 ;               22.237 ;                0.000 ;               31.841 ;               13.930 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.122521943.json.gz 
               22.883 ;               22.280 ;                0.000 ;               31.939 ;               13.930 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.123523155.json.gz 
               23.050 ;               22.260 ;                0.000 ;               31.899 ;               13.924 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.124524492.json.gz 
               23.217 ;               22.221 ;                0.000 ;               31.818 ;               13.918 ;               52.699 ;               94.983 ; Dbmsys.2018.10.24.125525691.json.gz 
               23.383 ;               22.208 ;                0.000 ;               31.818 ;               13.911 ;               52.449 ;               94.983 ; Dbmsys.2018.10.24.130527994.json.gz 
               23.550 ;               22.176 ;                0.000 ;               31.817 ;               13.911 ;               51.698 ;               94.983 ; Dbmsys.2018.10.24.131530724.json.gz 
               23.717 ;               22.155 ;                0.000 ;               31.817 ;               13.911 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.132533648.json.gz 
               23.883 ;               22.163 ;                0.000 ;               31.836 ;               13.911 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.133537247.json.gz 
